amapola
azucena
azahar
agapanto
alheli
anturio
astromelia
bromelia
buganvilia
bocadedragon
banderilla
begonia
crisantemo
clavel
clavelina
cartucho
calendula
campanilla
califa
cactus
cipres
croto
calendula
dalia
eleboro
exora
encino
fucsia
ficus
fatsia
fresno
fabaria
feijoa
fenix
geranio
gerbera
girasol
gardenia
glicina
gualanday
hortensia
heliconia
helecho
hiedra
inga
iris
ixora
ipheion
jacinto
jazmin
jabonera
jacaranda
jade
jara
jaguarzo
jarrilla
josefina
kalanchoe
kerria
katsura
kumquat
lilas
lantana
laurel
lirio
loto
margarita
magnolia
maguey
mozaenda
manzanilla
narciso
nenúfar
nochebuena
ñorbo
ñandubay
orquidea
ortiga
olmo
petunia
peonia
platanillo
papiro
palma
pino
piperonia
palisandro
quamoclit
quisqual
quionodoxa
rosa
rododendro
regaliz
romero
roble
salvia
sabila
sandalo
sesamo
tulipan
teresita
trebol
tabaco
tilo
tejo
ulmaria
violeta
valeriana
wachintona
wistaria
zarzarrosa
zinia
zamia
zarzamora
zelkova
zumaque
